x,rho,P,u,e
0.186186186186186,2.5,1.5,0,1.5
0.187687687687688,2.5,1.5,0,1.5
0.189189189189189,2.5,1.5,0,1.5
0.190690690690691,2.5,1.5,0,1.5
0.192192192192192,2.5,1.5,0,1.5
0.193693693693694,2.5,1.5,0,1.5
0.195195195195195,2.5,1.5,0,1.5
0.196696696696697,2.5,1.5,0,1.5
0.198198198198198,2.5,1.5,0,1.5
0.1996996996997,2.5,1.5,0,1.5
0.201201201201201,2.5,1.5,0,1.5
0.202702702702703,2.5,1.5,0,1.5
0.204204204204204,2.5,1.5,0,1.5
0.205705705705706,2.5,1.5,0,1.5
0.207207207207207,2.5,1.5,0,1.5
0.208708708708709,2.5,1.5,0,1.5
0.21021021021021,2.5,1.5,0,1.5
0.211711711711712,2.5,1.5,0,1.5
0.213213213213213,2.5,1.5,0,1.5
0.214714714714715,2.5,1.5,0,1.5
0.216216216216216,2.5,1.5,0,1.5
0.217717717717718,2.5,1.5,0,1.5
0.219219219219219,2.5,1.5,0,1.5
0.220720720720721,2.5,1.5,0,1.5
0.222222222222222,2.5,1.5,0,1.5
0.223723723723724,2.5,1.5,0,1.5
0.225225225225225,2.5,1.5,0,1.5
0.226726726726727,2.5,1.5,0,1.5
0.228228228228228,2.5,1.5,0,1.5
0.22972972972973,2.5,1.5,0,1.5
0.231231231231231,2.5,1.5,0,1.5
0.232732732732733,2.5,1.5,0,1.5
0.234234234234234,2.5,1.5,0,1.5
0.235735735735736,2.5,1.5,0,1.5
0.237237237237237,2.5,1.5,0,1.5
0.238738738738739,2.5,1.5,0,1.5
0.24024024024024,2.5,1.5,0,1.5
0.241741741741742,2.5,1.5,0,1.5
0.243243243243243,2.5,1.5,0,1.5
0.244744744744745,2.5,1.5,0,1.5
0.246246246246246,2.5,1.5,0,1.5
0.247747747747748,2.5,1.5,0,1.5
0.249249249249249,2.5,1.5,0,1.5
0.250750750750751,2.5,1.5,0,1.5
0.252252252252252,2.5,1.5,0,1.5
0.253753753753754,2.5,1.5,0,1.5
0.255255255255255,2.5,1.5,0,1.5
0.256756756756757,2.5,1.5,0,1.5
0.258258258258258,2.5,1.5,0,1.5
0.25975975975976,2.5,1.5,0,1.5
0.261261261261261,2.5,1.5,0,1.5
0.262762762762763,2.5,1.5,0,1.5
0.264264264264264,2.5,1.5,0,1.5
0.265765765765766,2.5,1.5,0,1.5
0.267267267267267,2.5,1.5,0,1.5
0.268768768768769,2.5,1.5,0,1.5
0.27027027027027,2.5,1.5,0,1.5
0.271771771771772,2.5,1.5,0,1.5
0.273273273273273,2.5,1.5,0,1.5
0.274774774774775,2.5,1.5,0,1.5
0.276276276276276,2.5,1.5,0,1.5
0.277777777777778,2.5,1.5,0,1.5
0.279279279279279,2.5,1.5,0,1.5
0.280780780780781,2.5,1.5,0,1.5
0.282282282282282,2.5,1.5,0,1.5
0.283783783783784,2.5,1.5,0,1.5
0.285285285285285,2.5,1.5,0,1.5
0.286786786786787,2.5,1.5,0,1.5
0.288288288288288,2.5,1.5,0,1.5
0.28978978978979,2.5,1.5,0,1.5
0.291291291291291,2.5,1.5,0,1.5
0.292792792792793,2.5,1.5,0,1.5
0.294294294294294,2.5,1.5,0,1.5
0.295795795795796,2.5,1.5,0,1.5
0.297297297297297,2.5,1.5,0,1.5
0.298798798798799,2.5,1.5,0,1.5
0.3003003003003,2.5,1.5,0,1.5
0.301801801801802,2.5,1.5,0,1.5
0.303303303303303,2.5,1.5,0,1.5
0.304804804804805,2.5,1.5,0,1.5
0.306306306306306,2.5,1.5,0,1.5
0.307807807807808,2.5,1.5,0,1.5
0.309309309309309,2.5,1.5,0,1.5
0.310810810810811,2.5,1.5,0,1.5
0.312312312312312,2.5,1.5,0,1.5
0.313813813813814,2.5,1.5,0,1.5
0.315315315315315,2.5,1.5,0,1.5
0.316816816816817,2.5,1.5,0,1.5
0.318318318318318,2.5,1.5,0,1.5
0.31981981981982,2.5,1.5,0,1.5
0.321321321321321,2.5,1.5,0,1.5
0.322822822822823,2.5,1.5,0,1.5
0.324324324324324,2.5,1.5,0,1.5
0.325825825825826,2.5,1.5,0,1.5
0.327327327327327,2.5,1.5,0,1.5
0.328828828828829,2.5,1.5,0,1.5
0.33033033033033,2.5,1.5,0,1.5
0.331831831831832,2.5,1.5,0,1.5
0.333333333333333,2.5,1.5,0,1.5
0.334834834834835,2.5,1.5,0,1.5
0.336336336336336,2.5,1.5,0,1.5
0.337837837837838,2.5,1.5,0,1.5
0.339339339339339,2.5,1.5,0,1.5
0.340840840840841,2.5,1.5,0,1.5
0.342342342342342,2.5,1.5,0,1.5
0.343843843843844,2.5,1.5,0,1.5
0.345345345345345,2.5,1.5,0,1.5
0.346846846846847,2.5,1.5,0,1.5
0.348348348348348,2.5,1.5,0,1.5
0.34984984984985,2.5,1.5,0,1.5
0.351351351351351,2.5,1.5,0,1.5
0.352852852852853,2.5,1.5,0,1.5
0.354354354354354,2.5,1.5,0,1.5
0.355855855855856,2.5,1.5,0,1.5
0.357357357357357,2.5,1.5,0,1.5
0.358858858858859,2.5,1.5,0,1.5
0.36036036036036,2.5,1.5,0,1.5
0.361861861861862,2.5,1.5,0,1.5
0.363363363363363,2.5,1.5,0,1.5
0.364864864864865,2.5,1.5,0,1.5
0.366366366366366,2.5,1.5,0,1.5
0.367867867867868,2.5,1.5,0,1.5
0.369369369369369,2.5,1.5,0,1.5
0.370870870870871,2.5,1.5,0,1.5
0.372372372372372,2.5,1.5,0,1.5
0.373873873873874,2.5,1.5,0,1.5
0.375375375375375,2.5,1.5,0,1.5
0.376876876876877,2.5,1.5,0,1.5
0.378378378378378,2.5,1.5,0,1.5
0.37987987987988,2.5,1.5,0,1.5
0.381381381381381,2.5,1.5,0,1.5
0.382882882882883,2.5,1.5,0,1.5
0.384384384384384,2.5,1.5,0,1.5
0.385885885885886,2.5,1.5,0,1.5
0.387387387387387,2.5,1.5,0,1.5
0.388888888888889,2.5,1.5,0,1.5
0.39039039039039,2.5,1.5,0,1.5
0.391891891891892,2.5,1.5,0,1.5
0.393393393393393,2.5,1.5,0,1.5
0.394894894894895,2.5,1.5,0,1.5
0.396396396396396,2.5,1.5,0,1.5
0.397897897897898,2.5,1.5,0,1.5
0.399399399399399,2.5,1.5,0,1.5
0.400900900900901,2.5,1.5,0,1.5
0.402402402402402,2.5,1.5,0,1.5
0.403903903903904,2.5,1.5,0,1.5
0.405405405405405,2.5,1.5,0,1.5
0.406906906906907,2.5,1.5,0,1.5
0.408408408408408,2.5,1.5,0,1.5
0.40990990990991,2.5,1.5,0,1.5
0.411411411411411,2.5,1.5,0,1.5
0.412912912912913,2.5,1.5,0,1.5
0.414414414414414,2.5,1.5,0,1.5
0.415915915915916,2.5,1.5,0,1.5
0.417417417417417,2.5,1.5,0,1.5
0.418918918918919,2.5,1.5,0,1.5
0.42042042042042,2.5,1.5,0,1.5
0.421921921921922,2.5,1.5,0,1.5
0.423423423423423,2.5,1.5,0,1.5
0.424924924924925,2.5,1.5,0,1.5
0.426426426426426,2.5,1.5,0,1.5
0.427927927927928,2.5,1.5,0,1.5
0.429429429429429,2.5,1.5,0,1.5
0.430930930930931,2.5,1.5,0,1.5
0.432432432432432,2.5,1.5,0,1.5
0.433933933933934,2.5,1.5,0,1.5
0.435435435435435,2.5,1.5,0,1.5
0.436936936936937,2.5,1.5,0,1.5
0.438438438438438,2.5,1.5,0,1.5
0.43993993993994,2.5,1.5,0,1.5
0.441441441441441,2.5,1.5,0,1.5
0.442942942942943,2.5,1.5,0,1.5
0.444444444444444,2.5,1.5,0,1.5
0.445945945945946,2.5,1.5,0,1.5
0.447447447447447,2.5,1.5,0,1.5
0.448948948948949,2.5,1.5,0,1.5
0.45045045045045,2.5,1.5,0,1.5
0.451951951951952,2.5,1.5,0,1.5
0.453453453453453,2.5,1.5,0,1.5
0.454954954954955,2.5,1.5,0,1.5
0.456456456456456,2.5,1.5,0,1.5
0.457957957957958,2.5,1.5,0,1.5
0.459459459459459,2.5,1.5,0,1.5
0.460960960960961,2.5,1.5,0,1.5
0.462462462462462,2.5,1.5,0,1.5
0.463963963963964,2.5,1.5,0,1.5
0.465465465465465,2.5,1.5,0,1.5
0.466966966966967,2.5,1.5,0,1.5
0.468468468468468,2.5,1.5,0,1.5
0.46996996996997,2.5,1.5,0,1.5
0.471471471471471,2.5,1.5,0,1.5
0.472972972972973,2.5,1.5,0,1.5
0.474474474474474,2.5,1.5,0,1.5
0.475975975975976,2.5,1.5,0,1.5
0.477477477477477,2.5,1.5,0,1.5
0.478978978978979,2.5,1.5,0,1.5
0.48048048048048,2.5,1.5,0,1.5
0.481981981981982,2.5,1.5,0,1.5
0.483483483483483,2.5,1.5,0,1.5
0.484984984984985,2.5,1.5,0,1.5
0.486486486486487,2.5,1.5,0,1.5
0.487987987987988,2.5,1.5,0,1.5
0.48948948948949,2.5,1.5,0,1.5
0.490990990990991,2.5,1.5,0,1.5
0.492492492492492,2.5,1.5,0,1.5
0.493993993993994,2.5,1.5,0,1.5
0.495495495495495,2.5,1.5,0,1.5
0.496996996996997,2.5,1.5,0,1.5
0.498498498498498,2.5,1.5,0,1.5
0.5,2.5,1.5,0,1.5
0.501501501501502,2.5,1.5,0,1.5
0.503003003003003,2.5,1.5,0,1.5
0.504504504504504,2.5,1.5,0,1.5
0.506006006006006,2.5,1.5,0,1.5
0.507507507507508,2.5,1.5,0,1.5
0.509009009009009,2.5,1.5,0,1.5
0.510510510510511,2.5,1.5,0,1.5
0.512012012012012,2.5,1.5,0,1.5
0.513513513513513,2.5,1.5,0,1.5
0.515015015015015,2.5,1.5,0,1.5
0.516516516516517,2.5,1.5,0,1.5
0.518018018018018,2.5,1.5,0,1.5
0.519519519519519,2.5,1.5,0,1.5
0.521021021021021,2.5,1.5,0,1.5
0.522522522522523,2.5,1.5,0,1.5
0.524024024024024,2.5,1.5,0,1.5
0.525525525525526,2.5,1.5,0,1.5
0.527027027027027,2.5,1.5,0,1.5
0.528528528528528,2.5,1.5,0,1.5
0.53003003003003,2.5,1.5,0,1.5
0.531531531531532,2.5,1.5,0,1.5
0.533033033033033,2.5,1.5,0,1.5
0.534534534534535,2.5,1.5,0,1.5
0.536036036036036,2.5,1.5,0,1.5
0.537537537537538,2.5,1.5,0,1.5
0.539039039039039,2.5,1.5,0,1.5
0.540540540540541,2.5,1.5,0,1.5
0.542042042042042,2.5,1.5,0,1.5
0.543543543543544,2.5,1.5,0,1.5
0.545045045045045,2.5,1.5,0,1.5
0.546546546546547,2.5,1.5,0,1.5
0.548048048048048,2.5,1.5,0,1.5
0.54954954954955,2.5,1.5,0,1.5
0.551051051051051,2.5,1.5,0,1.5
0.552552552552553,2.5,1.5,0,1.5
0.554054054054054,2.5,1.5,0,1.5
0.555555555555556,2.5,1.5,0,1.5
0.557057057057057,2.5,1.5,0,1.5
0.558558558558559,2.5,1.5,0,1.5
0.56006006006006,2.5,1.5,0,1.5
0.561561561561562,2.5,1.5,0,1.5
0.563063063063063,2.5,1.5,0,1.5
0.564564564564565,2.5,1.5,0,1.5
0.566066066066066,2.5,1.5,0,1.5
0.567567567567568,2.5,1.5,0,1.5
0.569069069069069,2.5,1.5,0,1.5
0.570570570570571,2.5,1.5,0,1.5
0.572072072072072,2.5,1.5,0,1.5
0.573573573573574,2.5,1.5,0,1.5
0.575075075075075,2.5,1.5,0,1.5
0.576576576576577,2.5,1.5,0,1.5
0.578078078078078,2.5,1.5,0,1.5
0.57957957957958,2.5,1.5,0,1.5
